comment,class_label
"Jediné čo sa mi nepácilo boli programatorske cvika, kde v zadani som dostal vopred definovanu strukturu triedy a pochopit ju mi trvalo dlhsie ako zadefinovanie mojej vlastnej a jednoduchsej, ale za tu by som zase nedostal body...",-1
"Myslim, ze predmet je dobre vedeny :) Prednasajuca je sympaticka a okamzite si ma ziskala :) Samotny predmet - co uz s nim. Spociatku sa mi struktury velmi pacili, ale ked to kleslo ku stromom, klesol aj moj zaujem o predmet (co sa aj odrazilo na bodovom hodnoteni najma teoretickych rozcviciek). Myslim, ze na matfyze je privela stromov, ktore studentovi uspesne znechutia programovanie. Mam obavy pred skuskou, teoria na slidoch vyzera na prvy pohlad mozno zaujimavo, ale naucit sa na skusku bude heroicky vykon. Neodporucam - je to narocne, nanestastie privelmi povinne (viac povinne to snad byt nemoze).",-1
"Pre mna pomerne nezaujimavy predmet, ale asi sa mi to hodi :)",1
"Dobre vedeny predmet.",1
"dosť velke naroky na tvorbu znamky, casovo dost narocne",0
"Príliš veľa času sa venuje dôkazom a výpočtom zložitostí. Skôr by som tento čas využil na ukázanie ďalších algoritmov.",-1
"Štruktúra programátorských cvičení by som zmenil. Napodobnil by som cviká z programovania 1 a 2, kde sa na cviku rieši konkrétny kód, konkrétnej látky. Nie každý je schopný sa vlastnou samostatnou prácou dopracovať k správnemu programu a teda stráca body. Ak sa má hodnotiť aj samostatná práca, tak domácimi úlohami.",-1
"Predmet dobry, ale tazky v tom ze na prednaske som castokrat veci nepochopil, odpovede som musel hladat u kamaratov -  pritom boli castokrat trivialne len stacilo povedat toto spravis takto a toto takto to je cele a trvalo to 10min a nie hodinu a pol za ktoru to neviem pochopit. To je vidno aj na cviceniach kde ked su cvicenia teoreticke a mame sancu to pochopit rozcvicka dopadla podla mna o 100% lepsie ako ked sa programovalo nieco co bolo den pred tym na prednaske - teda cerstve ucivo bez moznosti precvicenia a pochopenia. Dalsiu vec by som chcel povedat, ze programovacie cvicenia NIE JE mozne stihnut za cas urceny na cviceniach. No vyzdvihol by som urcite pristup a ochotu ucitelov venovat sa a pomoct ziakom, co nie je skor rarita. Aj ked je tazsi predmet tak clovek dostane pomerne vela sanci ako bojovat o prejdenie alebo lepsiu znamku, len treba mat zaujem",-1
"Predmet je fajn no nebavilo ma to nejak moc.. Ale urcite by som ho odporucil nakolko sa tam naucime par dobre pouzitelnych veci .",0
"Niektore veci sa mi nepacili (preberanie konkretnych sortov..., az moc stromov) a chybanie niektorych zaujimavych casti (dynamicke programovanie, rozdel a panuj, atd...).Predmet by podla mna mal mat pokracovanie, ADS 2, kde by sa preberali zaujimavsie veci.",-1
"Ťažko porovnať s niečím, kedže iný premet o dátových štruktúrach som nemal :-) Preberaná látka bola zaujímavá rozhodne :-)",1
"Kedze sa jedna o povinny predmet je ho nutne absolvovat. Vyhrady nemam ziadne voci predmetu.",1
"jedine pozitivum boli teoreticke cvicenia, na programatorske bolo vzdy malo casu, na skuske veci iba z prednasok, prednasky nezaujimave",0
"Klady:+Popisuje sa vela struktur, z ktorych sa mnohe aj realne pouzivaju, latka je spracovana velmi prehladne hoci ako predmet sa ADS radi k jednym z tych tazsich. +Organizacia cviceni je velmi dobra, prednasajuca aj cviciace su velmi ustretove a maju ochotu studentovi poradit a vysvetlit ak niecomu nerozumie.+Su moznosti ziskat bonusove body, navyse sa do hodnotenia nerataju vsetky cvicenia, takze ak raz clovek nema svoj den, nedeje sa ziadna tragedia. Vyhrady:-Semester sa zacal vetou, ze je bezne, ze sa zadania na cvikach vypracovat nestihaju. To je pravda, preto by sa napriklad zislo mat uz nejake predpripravene casti kodu, aby nebolo treba stracat cas programovanim toho, co z hladiska latky nie je dolezite.-Hodnotenie za prispievanie na wiki by malo byt v moodle aj okomentovane, aby student vedel, co jeho prispevku chybalo / naopak, za co tie body dostal.",0
"na ohranicenia zlozitosti algoritmov by som sa sustredil skor asi z tej softveristickej stranky ako z matematickej, dokazy sa mi zdali trocha zbytocne",-1
"jeden z najtazsich predmetov",0
"Je povinny tak si velmi nevyberiete, podla mna tazsie priklady na cviceniach pri pocitaci, ktore bol problem urobit za jedno cvicenie.",-1
"Znalosti z tohoto predmetu patria k zakladom pre kazdeho programatora ... Predmet je organizovany dobre ...",1
"nepaci sa mi na predmete ze je treba si pamatat vela datovych struktur ktore vacsina studentov nikdy nevyuzije ... je fajn vedet o nich ale ucit sa ich principy naspamat mi pripada trochu prehnaneje fajn ze sa na cviceniach programuje to sa urcite kazdemu s nas zide",-1
"Povinné zlo, avšak tento rok sa zlepšili podmienky hodnotenia. K vyučujúcim nemám žiadne výhrady :)",0
"Nelubi sa mi skuskova pisomka, na ktorej sa vyskytlo strasne VELA typov prikladov, ake sme VOBEC necvicili. Mohol by som povedat, ze jeden zo siedmich prikladov sme robili na cviceniach, a tym to hasne. Nejake boli nacrtnute v prednaskach, ale to je vsetko.",-1
"neprijemne bolo to, ze boli vypisane iba 3 terminy ked nahodou, jeden nevyhovoval a clovek by to pripadne mal opakovat na 2. opravny termin tuto moznost vobec nema...",-1
"Sú to ľahko získané kredity. Nerobilo sa tam skoro nič, profesor zadal tému , študent ju vypracoval, a následne prezentoval. Hodnotenie bolo ale zvláštne, nemyslím si, že to bolo hodnotené fér. Niektorý mali zle témy na spracovanie, a následne dostali potom aj zlú známku, aj keď sa podľa mňa dosť snažili.",-1
"Je to jeden z najzaujimavejsich predmetov, krory som tento semester absolvoval. Naplnou predmetu je spravit prezentaciu clanku, ktory si vyberiete. Pripadne vam zada, ked si nevyberiete :)Tento predmet by som skor odporucil do prveho rocnika, kde sa studenti este rozhliadaju, aku diplomovku budu robit.",1
"uzitocne veci, avsak, skoda ze sme tak malo pocitali a namiesto toho davali prednost dokazom.",0
"Formalne zapisany vzorec pre vypocet s vela premennymi nestaci, aplikovanym informatikom treba ukazat aj v praxi vzorovy priklad/vypocet a potom clovek objavi ake je to v podstate jednoduche ucivo",0
"vďaka všetkým, čo pomohli. predmet je veľmi flexibilný, snažíme sa dať možnosť zoznámiť sa s robotikou - či už formou aktívnej účasti v súťažiach, alebo na stretnutiach podľa vášho záujmu.",0
"Skvely prístup profesora ... škola ""hrou"" respekt. učenie a zlepšeovanie logiského uvažovanaia pomocou skvelých robotických ukážok ! Vec ktorá mi chýba na iných predmetoch ! ...",1
"Cez semester sa na hodiny nechodí, k získaniu jedného kreditu treba robiť rozhodcu na robotickej súťaži, alebo sa v skúškovom prísť na 2 až 4 hodiny zahrať s robotmi.",0
"Predmet nie je úplne najľahší a je dobré mať už skúsenosti s nejakým deklaratívnym jazykom. Ak vás bavilo CL-ko, tak odporúčam tento predmet.Trocha mi však vadilo, že cvičenia boli miestami nevyvážené. Miestami som si s úlohami nevedel dať rady a inokedy som ich mal hotové zachvíľku.",0
"Je to iny sposob programovania ktory moze byt velmi uzitocny ... A aj keby clovek uz nikdy nerobil s Haskellom tak minimalne ho to nauci optimalizovat funkcie a pracovat s rekurziou ...",1
"To, čo sa na diskrétke učí, človek z veľkej časti reálne aj využije neskôr pri kódení, čo je veľké plus.",1
"Predmet je užitočný a je jednoduchší ako naozajstná matematika hlavne kvôli tomu ,že výpočty nemusia mať konečnú formu ,ale iba zakladanú. Ohľadom zmeny organizácií by som pravdepodobne zmenil kritéria záverečneho testu, z ktorej je potreba minimálne 50 bodov. Je naozaj ""nefér"" ,keď človek čo má viac ako 50 bodov (príklad 90) a kvôli záverečnému testu neprejde z predmetu.",0
"Povinný predmet,takže absolvovať ho treba. No prednášky nikomu z nás nič nedali, nebyť cvičení, tak ani neviem, čo sa nám to prednášajúci snaží vysvetliť. Pretože aj jednoduché veci vyzerali pri prednáškach ako totálne zabijaky... Učivo je dosť užitočné a dá sa využiť aj na iných predmetoch.",-1
"Je to povinný predmet, asi by som nič nezmenil.",0
"Predmet bol zaujímavý, ale z prednášok si toho študent odnesie minimum. Pán Komara to nevie zrozumiteľne vysvetliť.",-1
"Kohanova je super..:**Mohla by vpohode aj prednasat kazdy den a vsetko..:D",1
-.-,0
"super, spokojnost",1
"Diskrétna matematika ... postrach všetkých študentov. Nevravím, že je to nezáživný predmet, len množstvo (nového) materiálu odrádza od toho aby študent mohol plne vniknúť do tajov kombinátoriky, či rekurzíi.",-1
"Kvalita predmetu casto priamo zavisi od pedagoga - toto je toho cistym prikladom. Mozno keby bol iny prednasajuci/cviciaci ako J.Komara, tak by ma predmet zaujimal viac.",-1
"je naozaj obtiažne udržať sa v prúde lebo ak vám čo len jedna drobnosť vypadne tak je nemožné správne pochopiť nasledujúce veci keďže na seba bezpodmienečne nadväzujú.",0
"Matematika ako taka je podla mna dost zbytocny predmet, co potvrdil aj zakladatel Wolphramu alpha na svojej prezentacii, kedze v dnesnej dobe trva vyratat jeden priklad cloveku mnohonasobne dlhsie ako stroju, kde zadam parametre a dostanem vysledok.",-1
"Tento predmet sice u mna pari k tym horsim cize tazsim a teda by som si ho nezapisal keby ze nemusim ale tak je velmi zaujimavy co ocenujem",0
"Chýbajú jednotné skriptá. Je nezmysel zháňať štyri knihy a z toho 3 kilového Grimaldiho a to ešte po anglicky.",-1
"prednášajúci pán Komara veľmi nepochopiteľne vysvetluje, inak ma tento predmet zaujal len skoda ze to tak skomplikovali tie prednášky a cvičenia s ním..",-1
"Dobry prehlad ako bude prebiehat skuska, semestralky...",1
"Rozumiet zakladom diskretnej matematiky a jej nastrojom je dolezita cast informatiky a preto som rad, ze tento predmet je povinny. Co sa tyka obtiaznosti predmetu, nech som sa snazil ako som chcel, tak som sa vzdy stratil v polke prednasky a vacsinou som sa nasiel az na cviceni, alebo az ked som sa ucil na zapoctovku. Tomuto predmetu som venoval asi najviac casu z celeho semestra, ale nikdy som nemal pocit, ze by som to vedel. Styl prednasania pana Komaru mi moc nesadol, ide dost rychlo na to, ze to clovek musi pocuvat, pisat a chapat zaroven. Priklady ktore sme riesili boli naplnou zaujmave a vedel by som to, co som sa naucil aplikovat aj v realnom zivote (napr priklad s klobukmi :) ) ale mozno by to chcelo trosku ludskejsi pristup. Velmi by som pochvalil snahu pana profesora dat sancu ludom ktorym usiel zapocet o par bodov tym, ze im umoznil kvazi doplnkovu zapoctovku a aj konzultacie pocas skuskoveho.",0
"prednášky p.p.Komaru ma moc nezaujali, keďže na nich som chápal podstatne menej. Keby nám na cvikách učivo dobre nevysvetlili nechcem si predstaviť tie testy...",-1
"neodpadli nam ziadne hodiny ale aj tak sme nestihli vsetko prebrat na cviceniach s p.prof.Komarom",0
"Je povinny, takze nejde o odporucanie/neodporucanie (trosku bug) .. Predmet ma neoslovil, a teda ma nebavil",-1
"Predmet dobry, ale prednasajuci ma zvlastny talent. Latku, ktora je vysvetlitelna na 5 riadkov, zvladne na 2 tabule. A to zvykne ludi (obcas) odradit",0
"Ďakujem za všetky pripomienky ku predmetu, aj keď väčšina je negatívnych. Budem sa snažiť o zlepšenie úrovne a zatraktívnenie predmetu aj na základe vašich poznámok, snáď sa mi to podarí. K jednotlivým pripomienkam: - Uvedomujem si, že učivo aj písomné testy boli náročné, možno až priveľmi, vzhľadom na daný počet kreditov. V takom prípade som ale čakal väčšie zapojenie študentov. Nič by sa nestalo keby ste sa ozvali v tom zmysle že nikto nechápe a treba vysvetľovať menej a podrobnejšie. Okrem slajdov som zverejnil dostatok ďalších študijných materiálov na mojej stránke. Ako základný zdroj prednášok som použil knihu ""Geometric Data Structures for Computer Graphics"", ktorú som bol ochotný na požiadanie požičať. Nik nepožiadal ... - V písomných testoch sa nachádzalo len odprednášané učivo. V teoretických aj praktických príkladoch bolo potrebné mať o odprednášaných štruktúrach nejaké vedomosti. V praktických naviac použiť rozum a stredoškolskú matematiku. Zložitosť prác ale bola kompenzovaná pomerne jednoduchými projektami. - Tiež si myslím, že predmet by mal byť len pre grafikov (pre ktorých je nutné aby štruktúry poznali podrobne), s tým sa ale teraz nedá nič robiť -  Viem, že moje prezentačné schopnosti nie sú na najvyššej úrovni, ale snažil som sa ako som najviac vedel. Slajdy neboli dokonalé, keďže som predmet prebral a niektoré časti som robil nanovo. Snažil som sa ku každej štruktúre okrem slovného popisu pridať aj zdrojové kódy a zároveň ukázať reálne situácie a aplikácie, kde sa daná štruktúra používa. Ak niekto nikto nájde v slajdoch ""nepresné až klamlivé informácie"", tak sa treba ozvať, nech to môžem zmeniť a slajdy vylepšiť.",0
"Tento predmet by mohol dať niečo celkom špecifickým ľuďom, ktorí sa zaujímajú o grafiku a o štruktúry, ktoré sa v nej často používajú a majú veľkú toleranciu k Samuelčíkovmu,, zvláštnemu štýlu vysvetľovania.Ale kto z tohoto urobil povinný predmet?",0
"Prednášky boli nepochopiteľne",-1
"prednaskove slajdy su len pozliepane z miliona materialov na nete .. a ziadne zdroje ..miestami sa v nich ani prednasajuci nevyznal ..",-1
"Bohuzial musim povedat, ze tento predmet sa radi k tym najhorsim co som zatial navstevoval. Prednasky boli pre mna dost zle pochopitelne, a obcas priam nezrozumitelne. Prednasajuci sice patri medzi tych lepsich na skole, a ma zaujimave predmety, tento jeden ale nie je jeho silna stranka.",-1
"nemam co neodporucat, zial je to povinne. Pre mna ako umeleho inteligenta totalne zbytocne, praca ani narocnost urcite nie je umerna dotacii 2 kredity, o com svedia vseobecne vysledky po final terme.  Co uz.",-1
"Na to, ze je to 2-kreditovy predmet je tam toho dost vela a tazke su pisomky",-1
"Prilis vela zbytocnych struktur, na jednej strane sa nedali vysvetlit a pochopit do hlbky, na druhej strane sa to od nas na 2 testoch chcelo.",-1
"S prehladnit a ucelit studijne materiali(viac  prikadov- kedze vacsinou boli a skuske). Obsah predmetu je nezaujimavi, aj ked prednasajuci robil co mohol aby nas zaujal.",-1
"Psycho, 2 kreditový predmet, prednášky nepochopiteľné, skúšky totálne ťažké ... midterm bol priemer tuším 13b/40b. Psycho.",-1
"Uplne zbytocny predmet, ktory medzi povinnymi nema co hladat. Vacsinou nikto nechape preberanej latke. Absolutne znechutenie hned po prvej prednaske. Keby nebol povinny urcite si ho nik nezapise.",-1
"Predmet nebol zly, avsak na dany pocet kreditov sa latke venoval prilis podrobne. Chapem, ze to bolo potrebne, ale predmet by si urcite zasluzil vacsi pocet kreditov. Testy boli dost tazke, avsak moznost spravenia projektu pre ziskanie bodov to patricne vykompenzovala. K predmetu by sa zisli cvicenia.",0
"prednasane strasne nezaujimavym a zdlhavym sposobom...verim ze prednasajuci sa tematike rozumie, ale myslim ze to vobec nevie podat. strasne vela okolo toho rozprava a velmi do podrobna...mozno len ja mam ten pocit, ale akokolvek som sa snazil udrzat pozornost, nedalo sa. Myslim ze prednasajuci si potrebuje porozpravat svoje a koniec. Pokial sa niekto nieco opyta tak mu to zacne vysvetlovat, ale aj tak ho potom zhasne svojim vysvetlovanim..zbytocne vela vzorcov a kodov namiesto vysvetlenej podstaty..",-1
"Tento predmet je najvacsi omyl fakulty.. Mali by sme sa na nom naucit niektore veci pre grafikov, tie ale ucia aj na inych grafickych predmetoch a lepsie. Negrafici (umely inteligenti) tento predmet absolutne nepotrebuju. Co sa tyka prednasok - katastrofa, az na zasmiatie. Neorganizovanost, nepochopitelnost.. Ked je na slide napisane: nadpis VARIETY a pod tym 4 obrazky, clovek necaka, ze 2 z toho budu variety a 2 budu nevariety.. :)   A pan Samuelcik to trochu prehnal s timi otazkami na testoch. Nejakeho zapisaneho slidu, plneho cisiel, matic, a zdrojakov dat otazku na jednu 5x5 maticu z nich.. TENTO PREDMET JE OMYL",-1
"Učivo bolo pre smer UI nezaujímavé. Trochu zle boli vysvetlené niektoré témy a na internete o niektorých témach bolo pomerne málo informácií. Niekedy ani samotný prednášajúci nevedel, o čo poriadne ide.Zaviedla by som možnosť získania bonusových bodov za prispievanie na Wikipédiu.",-1
"V slidoch bol totálny chaos.",-1
"je asi vidno, ze tento predmet je nanovo prebraty po niekom inom. chyba tomu nieco viac ako odprednasane slajdy s ucivom, ktoremu nikto nerozumie, ani ked na tej prednaske sedi",-1
"Asi jedina nevyhoda tohto predmetu bolo, ze bol za prilis malo kreditov(2 :), neviem ci to bol napad, ale bol to blby napad ). To clovek potom ani nema velku motivaciu sa predmetu venovat. Inak preberana latka podla mna celkom uzitocna, beru sa veci, ktore sa realne v praxi pouzivaju, co je celkom fajn. Odprednasane to bolo podla mna tiez celkom dobre a zrozumitelne.",-1
"zislo by sa k prednaskam pridat aj priklady na precvicenie, pretoze prednasky su ladene len teoreticky, potom pride pisomka a prvykrat riesi clovek priklady s konkretnymi datami az na pisomke... kvalita slajdov by sla zlepsit, mat v prednaske hotove kusy kodu je fajn ked sa z toho clovek uci doma, ale na prednaske sa to tazko sleduje... a propos kod v slajdoch by mohol byt prehladnejsi, ked do nas vtlkaju na inych predmetoch pravidla pre prehladny kod, bolo by fajn keby sa vo vzorovom kode na prednaske dodrziavali (napr. popisne nazvy premennych, komentare apod.)",0
"Uplne zbytocny predmet. Niekedy som mal pocit ze ani vyucujuci nerozumie tomu co rozprava. Velmi velke poziadavky a este prisnejsie hodnotenie vzhladom na pocet kreditov(ak si zoberieme ze napr. aj telesna je za 2 kredity...)",-1
"Povinný predmet pre aplikov, za 2 smiešne kredity, kde preberaná látka je čistý hard core, nikomu by som to neodporúčal, kto to nemá povinné. Buď by mali zvýšiť počet kreditov aspoň na 4, alebo zjednodušiť preberané učivo.",-1
"Vzhľadom na množstvo učiva by si tento predmet zaslúžil viac kreditov. Možno by ani nemusel byť povinný, lebo veľa ľudí čo idú na umelú inteligenciu v tom nevidelo žiadny význam. Mne ako grafikovi sa to zdalo byť zaujímavé a použiteľné, ale ostatní sa tak netvárili.",0
"Zo začiatku semestra som chodil na prednášky. Keďže boli veľmi nezáživné, vôbec som sa na nich nevedel sústrediť na učivo a teda mi nič nedali, prestal som.Ocenil by som viac praktických príkladov a podrobnejšie slidy.",-1
"Skoda ze sme sa museli ucit na tie pisomky a nemohli sme robit rovno projekt.",0
"Pisomky boli vcelku narocne ale aspon to bolo vykompenzovane relativne jednoduchymi projektami - za 2kredity ale toho trebalo robit dost a ucit sa netrivialne veci, preto by to podla mna byt ohodnotene vacsim poctom kreditov (3-4)",0
"Dosť záleží od vyučujúceho aj od skupiny, do ktorej sa človek dostane, ale myslím, že príklady naviac určite pomôžu. V našej skupine bolo jediným problémom to, že niektorí zo študentov boli až nad mieru aktívni, a tí zvyšní si z toho často krát veľa neodniesli. A tým, že príklady boli zo skupiny tých náročnejších, dakedy to bolo dosť na škodu.",0
"Oplatí sa zapísať, človek sa veľa naučí a naozaj to pomôže.",1
"Príklady, ktoré sa rátali, boli pomerne náročné. Postup nebol vždy vysvetlený a bolo ťažké niečo vnímať v tom hluku, ktorý bol vždy na hodinách.",-1
"Predmet pomohol urcite, ak ste mali fajn cviciaceho. Ja som bol velmi spokojny. Kamarata z druhej skupiny skoro slafil trak a pritom je to sikovnejsi clovek ako ja ohladne matematiky. Ale tak celkovo by som predmet odporucal pre prvakov, ublizit im to neublizi. A je velka sanca ze im to pomoze.",1
"2kredity k dobru..:P trska sa objasni par veci popripade precvici, hlavne zes skuskove sa vsetky tie priklady velmi zidu:)",1
