,comment,class_label
570,"Myslim si, ze problematika, ktorou sa tento predmet zaobera je velmi dolezita a podla mna aj dost zaujimava. Bohuzial, neviem, ci obsahovo pokryl vsetko potrebne a hlavne skripta a prednasky, ktore sa s nimi v podstate zhoduju na mna posobia neprehladne a tazko sa z nich uci a chape.",-1
3183,mizéria.,-1
1553,"Je to des. Tak krasny predmet takto znicit. Vobec to nebolo seriozne budovane. Stalo to na chabych zakladoch. Na cvikach to bolo hrozne pomale a neproduktivne zabity cas dokazovanim jednoduchych tvrdeni a rychlym preletenim vacsich. Vobec sme netusili z coho  a aka bude skuska(ci iba pisomka, ci iba z prikladov). Tento predmet si zasluzi aspon take postavenie ako analyza jednotka. Teda taku poctivost preciznost a serioznost.",-1
2318,"pre mna tento predmet nebol velmi zaujimavy, ale to je len moj subjektivny nazor",1
620,"Obsah predmetu pre mna zaujimavy a uplne novy, prednasky vsak boli trochu uspavajuce.",0
2831,">> Komplikovane znejuci ale pritom nie netrivialny predmet pre tych, ktori sa chceli znacnym oblukom vyhnut statistike a predsa sa im to nepodarilo. :D Riesili sa tu celkom zaujimave veci, prakticke. System hodnotenia bol zvlastny, v podstate upraveny pocas semestra. Skutocne, vyvolavanie k tabuli (rozumej vynucovanie si aktivity od studentov) je prezitok. Namiesto toho, aby bolo naordinovane, ze na kazdej hodine pojde niekto k tabuli, sa to da spravit napriklad tak, ze sa za ucast pri tabuli ponukne ista percentaz z hodnotenia a studenti k tej tabuli pojdu radi aj sami.. vid hocijaky iny predmet s hodnotenim aktivity. ;) Je to mozno len kozmeticka uprava systemu, ale vela ludi nadava prave na tento pristup a to asi nie je velmi prijemne pre vztah k tomuto predmetu hned na zaciatok semestra..",0
2730,"vela teorie... otazky typu ""co by sa stalo, ak..."" su pre mna nepochopene dodnes...",-1
2883,"Nedoporucujem ho, lebo som sa tu absolutne nic nenaucil. K Laplaceovej a Fourierovej transformacii sme sa nedostali, metoda charakteristik pre PDE 2. radu nie je metoda riesenia PDE 2. radu (az na vlnovu rovnicu) a separaciu premennych sme uz mali pred tym. Bolo cosi nove z Greenovych funkcii, ale to sa dalo zhrnut do 2 prednasok.",-1
1469,Na cvikach sa toho spravilo strasne malo. Dlho sa ratal jeden priklad a mnohi sa stratili pocas neho. Ucivo nie moc dobre vysvetlene.,-1
326,Fajn predmet. Dozviem sa co potrebujem.,1
1995,je potrebne poznam latku ktora sa prebera neskor na inych predmetoch respektive vobec,0
3082,parada.,1
2548,"Cvičenia boli vcelku dobré, ale prednášky neboli nič moc. Vcelku sme nepochopili obsah predmetu a často boli zmetočné a rozhádzané.",-1
1229,"Predmet má jeden seminár do týždňa, kde sú ukázané trasformácie, ktoré by mali ovládať všetci, ktorí absolvovali GSVM. Programovací jazyk je nezávislý aj keď je z pochopiteľných dôvodov preferované c++.",0
2114,"Prekryvanie uciva s ostatnymi predmetmi, narocnost nulova a neschopnost prednasajuceho udrzat poriadok na hodine.",-1
915,"S obsahom predmetu som spokojný, človek sa dozvie veľa zaujímavého a hlavne je to trochu iný pohľad na vec. Čo sa týka organizácie, možno by to chcelo trochu spestriť prednášky nejakými prezentáciami, ukážkami nejakých naprogramovaných modelových situácii a podobne, lebo nie všetko z prednášanej látky sa dá ľahko prehltnúť a takáto pomôcka by určite bola nápomocná. Čo sa týka odporúčaní, tak hlavne študentom, ktorý sa chcú vydať smerom teoretickým (teoretická fyzika a pod.)",0
401,"Také miĺe zopakovanie a rozšírenie znalostí z XHTML a CSS. Čo sa mi však mimoriadne páčilo na predmete, to bola určite jeho organizácia - či to boli prednášky, či cvičenia alebo či aj záverečná skúška, všetko do seba krásne zapadalo. Nemohlo sa stať, že by človeka prekvapilo niečo, čo by nebolo odučené, jednoducho obsah prednášok zodpovedal úplne obsahu toho, čo sa dialo na cvičeniach. No a čo sa dialo na cvičeniach postupne, sa udialo vo veľkom na skúške. Jednoducho organizácia predmetu na 1*.",1
1347,"vela teorie, takze kto si zapisuje tento predmet s cielom sa naucit nieco do praxe, tak tomu ho neodporucam, pre teoretikov je to nutnost, ale ci to niekde vyuziju to netusim",-1
1524,"Ak vas bavi grafika, hlavne jej tvorba a prekusnete, ze je predmet vyucovany cisto v open-source softe, tak je to vyborna oddychovka",1
1105,Ak sa chce clovek nieco dozvediet alebo rozsirit si poznatky z oblasti je to fajn volba. Minusom je krkolomne 2-nasobna skuska+esej na absolvovanie predmetu co je na 3 kredity a vyberovku pre niekoho kto s tym nepride asi uz nikdy do styku predsa len trochu vela prace. Obrovskym plusom je velmi ustretovy pristup prednasajucej k studentom.,0
3159,O.K,0
455,"zaujimavy predmet. aj prednasky boli fajn. skoda, ze tak skoro rano :(",1
2321,"Hlavným problémom predmetu boli prednášky v pondelok o ôsmej ráno, kedy človek síce dorazil, ale schopnosť vnímať nebola zrovna ideálna a slovný prejav prednášajúceho skôr uspal ako zobudil. Pritom je zjavné, že prednášajúci je odborník a má skúsenosti z praxe, učivu sa rozumie.  Druhým problémom boli cvičenia, ktoré prebiehali systémom: prídeme a čumíme ako cvičiaci bez slova opisujú správne predpripravené riešenia. Aspoň naša skupina v pondelok to tak mala.",-1
3042,Zbytočný.,-1
2139,"Jedine co mi z toho bolo na nieco, bola skusobna obhajoba, kde som dostala feedback, co tam nemusi byt a moze... ale tiez mi to pomohlo len velmi malo",0
39,"Diskrétna matematika ... postrach všetkých študentov. Nevravím, že je to nezáživný predmet, len množstvo (nového) materiálu odrádza od toho aby študent mohol plne vniknúť do tajov kombinátoriky, či rekurzíi.",-1
3135,Lovely.,1
